company,Stand Number,Country,Tel,Mail,Web
100% WOODY BLOCK N DECK,Zabeel D137,Korea,+ 82 41 7429445,business@shmc.kr,"??
http://www.shmc.kr"
3D INTERACTION TECHNOLOGIES,6C253,Germany,+ 49  35121967495,fanny.schiel@3dit.de,"??
http://www.3dit.de"
"A.BARBOSA, LDA",7F297,Portugal,3.51224E+11,marketing@abarbosa.pt,"??
http://www.abarbosa.pt"
A.T.P. SRL,3C137,Italy,+ 39 0883 533167,atp@atpsrl.it,"??
http://www.atpsrl.it"
AB TRASMISSIONI,3F137,Italy,+ 39 051 901650,info@abtrasmissioni.it,"??
http://www.abtrasmissioni.it"
ABANOS FURNITURE & DECORATION INDUSTRY,6A266,United Arab Emirates,+,mail@abanos.ae,"??
http://www.abanos.ae"
ABBAR GROUP FZC,Multaqua A117,United Arab Emirates,+ 971 6 5578701,talal@abbargroup.com,"??
http://www.abbargroup.com"
ABDIN INDUSTRIAL ESTABLISHMENT,1 E37,Jordan,+ 962 6 5865536,headoffice@abdin.com.jo,"??
http://www.abdin.com.jo"
ABU SAEED TRADING CO LLC,2D61,United Arab Emirates,+         971 4 220 9646 / 228 3066,mathews@astedubai.com,"??
http://www.abusaeedtrading.com"
ABUS,SS E77,Germany,+ 49 2335 634111,d.hoffmann@abus-sc.com,"??
http://www.abus.com"
ACCESS FLOOR POLYGROUP,7E323,Spain,+ 34 95 5997731,jasancho@afpolygroup.com,"??
http://www.accessfloorpolygroup.com"
ACME ENGINEERING PRODUCTS LTD.,2G64,Canada,+ 1 514 342-5656,rpresser@acmeprod.com,"??
http://www.acmeprod.com"
ACO,6 E240,United Arab Emirates,+ 971 4 8806998,info@aco.ae,"??
http://www.aco.ae"
ACTIV PROMO BUSINESS SRL,Romania Pavilion,Romania,+ 40 722 844431,office@activpromo.ro,"??
http://www.activpromo.ro"
ADIL BROTHERS MARBLE EXTRACTION & PROCESS COMPANY,Maktoum B147,United Arab Emirates,+ 93 788 634487,khalidhaqiqat@yahoo.com,"??
http://www.adelbrothers.co.ae"
ADTEK MALAYSIA,Ar A193,Malaysia,+ 603  3392 7608,in3@adtek.com.my,"??
http://www.adtek.com.my"
ADVANCED CONSTRUCTION SUPPLIES FACTORY (LAWAZEM),4B199,Saudi Arabia,+ 966 1812 4875,lawazem@gmail.com,"??
http://www.lawazem.info"
AFAPLAN,7F296,Portugal,+ 351  223776780,armindo.rodrigues@afaplan.com,"??
http://http://www.afaplan.com"
AGB,SS E156,Italy,+ 39 0424 832832,alberton.damiano@agb.it,"??
http://www.agb.it"
AGC OBEIKAN GLASS,SS B67,Saudi Arabia,+ 966 56 0010220,ahmed.baker@agc-obeikanglass.com,"??
http://www.obeikan.com.sa"
AGROB BUCHTAL GMBH,5C231,Germany,+ 49 9435 3910,agrob-buchtal@deutsche-steinzeug.de,"??
http://www.agrob-buchtal.de"
AIR MAJOR,1F13,Korea,+ 82 32 509 5833,tim@windrex.com,"??
http://www.veltzenergy.co.kr"
AKAM UKRAINE VOLGA BLUE,Maktoum A122,Ukraine,+ 38 056 7321395,mikhieiev@akam.ua,"??
http://www.akam.ua"
AKDAG GRANIT MERMER VE MAD. SAN. TIC. A.S.,Maktoum E141,Turkey,+ 90 424 2555390,export@akdagmermer.com,"??
http://www.akdagmermer.com"
AL ALAMIA FOR ROCKWOOL (ROCKAL),8F340,Egypt,+ 2 238 12796,fady@rockal.org,"??
http://www.rockal.org"
AL FAJER ESTABLISHMENT,8B351,United Arab Emirates,+ 971 4 3332985,naseer@fajerest.ae,"??
http://www.fajerest.com"
AL JAWDAH CERAMIC COMPANY,Rashid B171,Saudi Arabia,+ 966 11 4223316,info@aljawdahgroup.com,"??
http://www.alomran.sa"
AL JAZEERA PAINTS,8A341,Saudi Arabia,+ 966 722 11111/222,mhashim@al-jazeerapaints.com,"??
http://www.al-jazeerapaints.com"
AL JAZEERA PAINTS,8A341,Saudi Arabia,+ 966 722 11111/222,mhashim@al-jazeerapaints.com,"??
http://www.al-jazeerapaints.com"
AL JEDAR TRADING,Rashid D201,United Arab Emirates,+ 971 653 44172,accounts@jedar.ae,"??
http://www.jedar.ae"
AL MUHAIDEB TRADING & CONT EST/ B?NNINGER KUNSTSTOFF-PRODUKTE GMBH,4C181,United Arab Emirates,+       971 4 337 0133 / 390,akmuhdeb@emirates.net.ae,"??
http://www.almuhaideb.ae"
AL WATANIA FOR INDUSTRIES,5 E214,Saudi Arabia,+ 966 11 4980088,saalzahrani@wataniaind.com,"??
http://www.wataniaind.com"
ALAA AL JAZEERA GEN. TRAD. & CONT. CO,Zabeel J136,Kuwait,+ 965  24718253,info@alaa-al-jazeera.com,"??
http://www.alaa-al-jazeera.com"
ALAA METAL PRODUCTS FACTORY LLC SS METAL FABRICATOR,Zabeel B134,United Arab Emirates,+ 971 4 3394906,info@amprofact.com,"??
http://www.amprofact.com"
ALBA 2 MPM SPA,Rashid E240,Italy,+ 39 030 6811045,info@alba2.com,"??
http://www.alba2.com"
ALCHIMICA S.A.,8D331,Greece,+ 0030 2105691336,sakellarakisn@alchimica.com,"??
http://www.alchimica.com"
ALCOBOND ALUMINUM COMPOSITE PANELS,SS A61,United Arab Emirates,+ 971 55 4721312,kmisbah@gmail.com,"??
http://www.alcobond.com"
"ALCOPANEL CO.,LTD",6F246,Korea,+ 82 2 369 8391,jeff@alcopanel.com,"??
http://www.alcopanel.com"
ALERIS,SS F126,Belgium,+ 321  530-2111,nanda.aerts@aleris.com,"??
http://www.aleris.com"
ALLFLEX - ALL METALS ENGINEERING LTD.,4A170,United Arab Emirates,+ 971 4 8838080,tony@rgsgulf.com,"??
http://www.all-flex.com"
ALPHA PLUS TRADING LLC,SS A60,United Arab Emirates,+ 971 4 3336613,sales@alphaplusdubai.com,"??
http://www.alphaplusdubai.com"
ALPHAPLATRE,8A364,France,+ 33 02 41 21 19 40,contact@alphaplatre-france.com,"??
http://www.alphaplatre.com"
ALPI SPA,6C267,Italy,+     39 0546 945 411,sonia.arquati@alpi.it,"??
http://www.alpi.it"
ALQAISAR GROUP,7G292,United Arab Emirates,+ 971 6 7466939,alqaisar77@yahoo.com,"??
http://www.qtae.com"
ALU WOOD EMIRATES LLC,SS A147,United Arab Emirates,+ 971 4 3417800,naveed@alu-wood.com,"??
http://www.alu-wood.com"
ALUBOX - MAILBOXES,SS F90,Italy,+ 39 051 743565,lorenzo.scandellari@alubox.it,"??
http://www.alubox.it"
ALUFORM PEKINTAS ALUMINYUM SAN. VE TIC. A.S.,SS F111,Turkey,+   90 212 288 91 21,dauren@pekintas.com.tr,"??
http://www.aluform.com.tr"
ALUMINCO S.A,SS C 81,Greece,+ 0030 2262047000,e.karras@aluminco.com,"??
http://www.aluminco.com"
AMADAS SMART LOCK,Zabeel F134,United Arab Emirates,+ 971 4 4473700,ceo@amadas.kr,"??
http://www.amadas.kr"
AMCA INTERNATIONAL,Zabeel W187,United States,+ (847) 847 7046325,afry@amca.org,"??
http://www.amca.org"
ANI PLAST EU - LITHUANIA,Zabeel P127,Lithuania,+ 37 0463 47206,viktorija.kasirina@aniplast.lt,"??
http://www.aniplast.net"
"ANJI YIKE DECORATION MATERIAL TECHNOLOGY CO.,LTD",Ar F224,China,+ 86 572 5705325,sales3@ecofloorcovering.com,"??
http://www.ecofloorcovering.com"
ANTIPANIC THESIGN,SS E91,Italy,+ 051  808045,pcavestri@antipanic.it,"??
http://www.antipanic.it"
APD TECHNOLOGY SRL,3D101,Italy,+ 39 0422 806222,info@apdtechnology.it,"??
http://www.apdtechnology.it"
APELL SINKS AND APPLIANCES,Rashid B221,Italy,+ 39 085 440571,donato.dicamillo@apell.it,"??
http://www.apell.it"
API SERVIZI SRL,SS F156,Italy,+ 39 034 1286338,d.rigamonti@ufficioestero.it,"??
http://"
AQUAMATIK,Multaqua B130,India,+ 91 422 4321515,senthil@autotex.net,"??
http://www.autotex.net"
AQUASYSTEM,3A117,Italy,+ 39 049 5957221,chiara.longo@zilioindustries.com,"??
http://www.zilioindustries.com"
AQUATECHNIK GROUP SPA - GNALI BOCIA SRL,Multaqua A110,Italy,+ 39 331 307015,ewald.kuijper@aquatechnik.it,"??
http://www.aquatechnik.it"
AQUATHERM GMBH,2D81,Germany,+ 49 2722 9500,achim.schnell@aquatherm.de,"??
http://www.aquatherm.de"
AQUAVIVA,Rashid G247,Italy,+ 39 0322 840844,commerciale@aquaviva-srl.com,"??
http://www.aquaviva-srl.com"
