company,address
"TAY RING CO., LTD.","NO.23, LN. 375, GUANGDE RD., YONGLONG LI, TAIPING DIST., TAICHUNG CITY"
"GLOBAL C.M.D. & C.CO., LTD.","2F, NO.10, LANE 152, SHUANG YUAN ST., TAIPEI"
"KHUN SHENG TEXTILE CO., LTD.","5F.-3, NO.18, LN. 48, XINGSHAN RD., NEIHU DIST., TAIPEI CITY"
"HAO YUEH ENTERPRISE CO., LTD.","NO.23, LN. 32, YAZHOU RD., TUCHENG DIST., NEW TAIPEI CITY"
TRISUM CORP.,"12F., NO.207, TUN HWA N. RD., SONGSHAN DISTRICT, TAIPEI CITY"
"HESPER TECHNOLOGY CO., LTD.","1F., NO.1, LN. 28, XINGZHONG RD., NEIHU DIST., TAIPEI CITY"
"CHK SEALING TECHNOLOGY CO., LTD.","1F., NO.66, ZHUZAIJIAO RD., CHANGHUA CITY, CHANGHUA COUNTY"
SUNRIGHT FOODS CORPORATION,"1F, NO.21, WANFANG RD., WENSHAN TAIPEI"
THE ESLITE SPECTRUM CORPORATION,"B1, NO. 204, SUNGDE RD., TAIPEI, TAIWAN"
EPICURE LTD.,"NO.141, DAHU SHANZHUANG ST., NEIHU DIST., TAIPEI"
"THORTRON TECHNOLOGY INCORPORATED CO., LTD.","12F., NO.166, FUXING N. RD., ZHONGSHAN DIST., TAIPEI"
YANK-YEAST ENTERPRISE INC.,"5FL., NO.5, LANE 114, HO PING RD., LUZHOU DIST., NEW TAIPEI CITY"
YIN KWAN ENTERPRISE CO.,"NO.18, ALY. 33, LN. 290, SEC. 3, BAODA RD., GUIREN DIST., TAINAN CITY"
"HOLY YOUNG CO., LTD.","6F., NO.9, DE HUI ST., TAIPEI, TAIWAN, R.O.C."
"NOPORVIS CO., LTD.","NO.1-4, NO.3-4, KAIFA RD., NANZI DIST., KAOHSIUNG CITY"
"K-STAR TRAFFIC SUPPLY CO., LTD.","1F., NO.171-15, JHONGSHAN RD., MADOU DIST.,TAINAN CITY"
"CHANG CHUN PETROCHEMICAL CO., LTD.","NO.301, SONGKIANG RD., 7TH FL., TAIPEI. TAIWAN"
"TAIWAN DAEDALUS DOOR CONTROL CO., LTD.","NO.94, SEC.1, HSING LO RD., TIEN CHUNG, CHANG HUA"
"GREEN-ENERGY & ULTRA-PURITY TECHNOLOGY CO., LTD.","6F., NO.5, ALY. 50, LN. 36, SHENXI RD., XINYI DIST., KEELUNG CITY"
"SUNNY PRO CO., LTD.","5F., NO.56, LANE 31, MINZU RD., DANSHUI DIST., NEW TAIPEI CITY"
"CYBER BRAIN CO., LTD.","7F., No.400, Sec. 2, Bade Rd., Songshan Dist., Taipei City"
"CAOLY INDUSTRIAL CO., LTD.","1FL.,NO.26,MEI LUEN ST.,SHIHLIN DIST., TAIPEI"
GOLDEN ARBUTUS ENTERPRISE CORP.,"2F., NO.164, SEC. 1, CHUNGSHAN N. ROAD, YANG-MEI CITY, TAOYUAN COUNTY"
"I-GREATEST RUBBER IND. CO., LTD.","NO.36, TYAN-CHUNG ROAD, DAH-JUANG VIL., HSI-CHUN HSIANG, CHANG-HUA HSIEN"
"WANG CHUAN CHIY ENTERPRISE CO., LTD.","NO.93, YU YING ST., YINGGE DIST., NEW TAIPEI CITY,TAIWAN"
TOP MEASURE INSTRUMENT COMPANY,"1F.,NO.3,ALY. 38,LN. 1137,ZHONGZHENG RD.,WUFENG DIST.,TAICHUNG CITY"
ORIENTAL STAR CHEMICAL INC.,"955, FUNG SHIH RD., SHIGANG DIST., TAICHUNG CITY"
"KAI TZU LIN INTERNATIONAL CO., LTD.","NO.276, SEC. 1, CHUNG SHAN RD., BALI DIST., NEW TAIPEI CITY"
"SKY PEACE INTERNATIONAL CO., LTD.","1F., NO.60, JINLONG RD., NEIHU DIST., TAIPEI CITY"
"PRO-IRODA INDUSTRIES, INC.","NO.68,32ND RD.,TAICHUNG INDUSTRIAL PARK,SITUN DISTRICT,TAICHUNG CITY"
GODSPEED SYSTEM INTEGRATION LTD.,"NO.24, ALY. 17, LN. 99, SEC. 3, KANGNING RD., NEIHU DIST., TAIPEI"
GREATIM INTERNATIONAL INC.,"4F., NO.44, LN. 80, SEC. 3, NANGANG RD., NANGANG DIST., TAIPEI"
"NETCOMTESCO CO., LTD.","4F.-1, NO.329, SEC. 2, FUXING S. RD., DA AN DIST., TAIPEI"
"CHAIN YI LI MACHINERY IND. CO., LTD.","NO.383-1, SEC.2, SHATIEN RD., DADU DIST., TAICHUNG CITY"
FARGLORY GLOBAL INTERNET SERVICE COMPANY,"19F., NO.200, SEC. 1, KEELUNG RD., XINYI DIST., TAIPEI CITY"
