GUI,company,tel,address,web
97413843,大銀微系統股份有限公司,04-23550110,台中市南屯區精科中路6號,www.hiwinmikro.tw
22099890,元太科技工業股份有限公司,03-5643200,新竹科學工業園區新竹市力行一路3號,http://www.einkgroup.com/
56054251,巨大機械工業(股)公司,04-26814771,台中市大甲區順帆路 19 號,www.giant-bicycles.com
20828393,宏股份有限公司,02-26963131,新北市汐止區新台五路一段88號,www.acer.com
59052361,美利達工業股份有限公司,04-8526171,彰化縣大村鄉美港村美港路116號,www.merida.com
23740604,茂森科技股份有限公司,02-22181633,新北市新店區民權路108~3號11樓,www.marsontech.com
28113005,晉弘科技股份有限公司,03-5798860,新竹科學園區園區二路9號7樓,www.miis.com.tw
28428722,圓展科技股份有限公司 ,02-22698535,新北市土城區大安路157號8樓,www.aver.com
23503047,上銀科技股份有限公司,04-23594510,台北市大安區建國南路一段161號11F,www.hiwin.tw
11026506,大同股份有限公司,02-25925252,台北市中山北路三段22號,www.tatung.com.tw
34051920,台達電子工業股份有限公司,02-87972088,台北市內湖區瑞光路186號,www.deltaww.com
89374380,台灣維順工業股份有限公司,04-23583232,台中市南屯區寶山里工業區25路6號,www.heartway.com.tw
4799077,正新鋁業股份有限公司,03-4526911,桃園市中壢工業區北園二路6號,www.cha.com.tw
12800225,群創光電股份有限公司,037-586000,南部科學工業園區台南園區台南市環西路一段3號,www.innolux.com
52307500,慶鴻機電工業股份有限公司,04-23509188,台中市南屯區精科一路三號,www.chmer.com
54136948,永朔實業有限公司,04-23163997,台中市西屯區成都路118號4樓,www.step2gold.com
80621419,宏佳騰動力科技股份有限公司,06-5783988,台南市山上區南洲里南洲41號,www.aeonmotor.com.tw
70721522,明基電通股份有限公司,02-27278899,台北市內湖區基湖路16號,www.BenQ.com
59619900,建大工業股份有限公司,04-8345171,彰化縣員林市中山路一段146號,www.kendatire.com
28435456,納智捷汽車股份有限公司,02-55910888,新北市新店區中興路3段3號3樓,www.luxgen-motor.com.tw
70703897,晶睿通訊股份有限公司,02-82455282,新北市中和區連城路192號6樓,www.vivotek.com
97063917,一芝軒企業有限公司,04-25256461,臺中市神岡區豐洲里東洲路79巷67號,www.icsbb.com
