category,工廠地址,工廠位置,公司名稱,主要出口市場,主要產品,地址,年營收,成立年份,品牌,員工,員工人數,註冊地址,郵遞區號,業務類型,資本額,電話號碼(1),電話號碼(2)
機械,,台灣,鳳記國際機械股份有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,南美洲,大洋洲,其他",Manufacture of wide variety of extrusion processing machinery,,,1953,FKI,, 101 -  200,臺南市永康區正北一路168號,710,"出口商,進口商,製造商"," 新台幣 50,000,001 -  100,000,000",-2531277,--
燈光及照明,,,凱穎國際有限公司,"南非,美國,哥斯大黎加,多明尼克島,瓜地馬拉,宏都拉斯,墨西哥,尼加拉瓜,巴拿馬,薩爾瓦多,阿根廷,智利,哥倫比亞,秘魯,澳大利亞,紐西蘭,印尼,馬來西亞,新加坡,泰國,越南,以色列,阿曼,土耳其,比利時,瑞士,德國,丹麥,西班牙,法國,英國,希臘,匈牙利,挪威,波蘭,羅馬尼亞,瑞典,加拿大,波多黎各,厄瓜多爾,菲律賓群島,沙烏地阿拉伯,捷克,芬蘭","LED Panel, LED Tube, LED Street Light, LED flooding Light, LED downlight, LED Bulb,
                              LED office light, LED High Bay, LED High Mast, LED Desk light",,"USD 5,000,001 -  10,000,000",,,,,台南市南區金華路一段484巷183弄17號,702,"出口商,製造商,原始設備制造商,原始設計制造商",,-2654195,2655075
機械零件,,台灣,嘉泰鋼模工業股份有限公司,"美國,墨西哥,日本,馬來西亞,新加坡,泰國,台灣,俄羅斯聯邦","plastic injection mold , tooling parts",,,1990,,,,台南市安南區總安街二段7巷17號,709,"出口商,製造商,原始設備制造商,原始設計制造商",,-3555686,-3555686
機械,,,益芳封口機有限公司,"其他,南非,美國,哥斯大黎加,墨西哥,尼加拉瓜,巴拿馬,智利,哥倫比亞,秘魯,澳大利亞,紐西蘭,中國大陸,印度,日本,南韓,馬來西亞,新加坡,泰國,以色列,英國,荷蘭,加拿大,菲律賓群島,義大利","Table Type Sealing Machine, Automatic, Rotary Sealing Machine, Piston Type Filling,
                              Form Fill Pack Sealing Machine, Syrup Filler, M.A.P Packaging, Fully Production Lines,
                              Sealing Films/ Containers/ Bags, Vacuum & Skin Packing Machine.",,,1985,益芳,,,高雄市彌陀區文安北路10號,827,"出口商,製造商,原始設計制造商",,-6196720,--
機械零件,,,麗聯實業有限公司,,"Diamond & CBN Resin bonded wheel  ,  Diamond & CBN Metal bonded wheel   ,  Diamond
                              & CBN Electroplated wheels  ,  Diamond & CBN Vitrified bonded wheel  ,  Polished Diamond
                              CBN Series  ,   Diamond & CBN Tools",,,1990,麗聯,,,苗栗縣苗栗市玉華里玉清路221號,360,"出口商,進口商,製造商,原始設備制造商,其他",,+886-37-351168 EXT 12,
服飾及配件,,,司諾比國際股份有限公司,"亞洲,歐洲,北美洲,美國,澳大利亞,紐西蘭,中國大陸,印度,日本,南韓,新加坡,越南,英國,加拿大",FISHING、GOLF、HORSE RIDING,,"USD 1,000,001 -  5,000,000",1978,Snowbee,,,台南市中西區金華路3段176號7樓,700,"出口商,進口商,製造商,原始設備制造商,原始設計制造商,代理商,批發商,貿易商",,+886-6-2293151 EXT 561,+886-6-2293151 EXT 566
機械,,,全能水工實業有限公司,"亞洲,歐洲,北美洲,中美洲,大洋洲,哥斯大黎加,中國大陸,印尼,馬來西亞,泰國,台灣,越南","Rotary Blowers, Fine Bubble DiSilent Rotary Vane Blower, Fine Bubble Diffuser, Low
                              Temperature Air Cooler, Suspended Solid Skimmer",,,1992,DISO,,,台北市雙連街41號1樓,103,"出口商,進口商,製造商,原始設備制造商,代理商"," 新台幣 1,000,001 -  5,000,000",-25571099,--
農產及食品,,,世葳科技有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,南美洲,大洋洲","Portable Water Purifier, Health CGF Algae Extract Powder, Pressurized Cylinder",,,2015,速益發 / 普洛,,,台中市潭子區雅豐街76巷73號3樓,427,"出口商,製造商,原始設備制造商,原始設計制造商,代理商,批發商,經銷商",,-25321013,--
機械,,台灣,長瑜企業股份有限公司,"南非,美國,哥斯大黎加,墨西哥,巴拿馬,阿根廷,智利,哥倫比亞,秘魯,澳大利亞,紐西蘭,香港,印度,日本,南韓,馬來西亞,巴基斯坦,新加坡,泰國,阿拉伯聯合大公國,巴林,以色列,伊拉克,伊朗,科威特,土耳其,比利時,瑞士,德國,丹麥,西班牙,法國,英國,希臘,匈牙利,荷蘭,波蘭,葡萄牙,俄羅斯聯邦,瑞典,斯洛法尼亞,阿爾及利亞,加拿大,波多黎各,巴西,沙烏地阿拉伯,捷克,芬蘭,義大利","Household overlock sewing machine, Household sewing machine",,,,瑪麗克,, 51 -  100,臺中市大里區國光路一段125巷11號2樓,412,製造商," 新台幣 10,000,001 -  50,000,000",-24073187,--
電機及電子,,,博詳科技股份有限公司,"南美洲,大洋洲,美國,智利,澳大利亞,奧地利,德國,西班牙,法國,英國,俄羅斯聯邦,加拿大,巴西,沙烏地阿拉伯,義大利","Intelligence Surveillance System, IO Manager, SMART Touch TV Surveillance System,Wireless
                              Flashcam Video Record System,Electronic Wire Stun Gun,O3Air & Water Purifier",新北市三重區大仁街48巷22號,,2001,PSL,, 51 -  100,,241,"出口商,製造商,原始設備制造商,原始設計制造商"," 新台幣 10,000,001 -  50,000,000",-89881283,29719682
電機及電子,,,宬科技開發有限公司,"亞洲,中東,歐洲,北美洲,中美洲,南美洲,大洋洲","Buzzer, PCB Terminal Blocks, Foot Switch, Piezo Siren, LED Lighting, Limit Switches
                              for Elevator",新北市新莊區化成路398巷17號,,2006,,,,,242,"出口商,製造商,原始設備制造商",,-22795339,-22795345
家庭用品,,台灣,台辰企業有限公司,"美國,中國大陸,日本,台灣,阿拉伯聯合大公國,德國,丹麥,法國,英國,荷蘭,俄羅斯聯邦,加拿大,沙烏地阿拉伯","Kitchenknife,kitchenware,tableware.stainless steel scissors,houseware.",,"USD 500,001 -  1,000,000",1977,台辰,,,臺中市外埔區外埔路830號,438,"出口商,進口商,製造商,原始設備制造商,原始設計制造商,貿易組織"," 新台幣 1,000,001 -  5,000,000",-26835090,-26835089
紡織及皮革,,,鴻琦國際有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,大洋洲,其他","running dye, weaving, ,coating",,,,,,,新北市土城區中央路4段37巷4號,236,"出口商,製造商,原始設備制造商",,-22676144,
機械,台灣,,得雲精密工業有限公司,,"chiller,water cooler,oil cooler",大里區中興路一段26巷11-6號,,2000,DERYUN,,,,412,"出口商
																			,
																		製造商",,-24929034,
農產及食品,,,峰茂國際有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,南美洲,大洋洲","IP Camera, IP Surveillance Accessoreis And Software  Packages, After-market auto parts
                              & Accessories, Taiwan Tea, Hygienic goods, Dental implement, Medical disposable goods,
                              Aquarium goods, Sterilized acupuncture needles, Home fragrance, Eco house ware",彰化縣員林鎮成功路一巷13號4樓,,2011,,,,,510,"出口商,製造商,原始設備制造商,原始設計制造商,代理商",,-8350935,-8345835
機械,,,耐金屬股份有限公司,"美國,中國大陸,日本,馬來西亞","Powder metallurgy, Bearing, Automobiles Parts, Motorcycle Parts, Woodworking Equipment,
                              tools parts, gears, sprocket wheel, bushings",,,,,,,苗栗縣竹南鎮公義路98巷100號,350,製造商,,+886-37-639877 EXT 12,+886-37-639878 EXT 12
機械,,台灣,維多利產業有限公司,"亞洲,歐洲,北美洲,大洋洲","Draft Beer Equipment, Faucet, Giftware",新北市汐止區福德一路392巷22弄2號,"USD 1,000,001 -  5,000,000",1995,VTR,,,,221,"出口商,製造商,原始設備制造商,原始設計制造商,貿易商",,-86930157,
機械,,,開拓冷凍工業股份有限公司,"其他亞洲國家,孟加拉,中國大陸,印尼,日本,緬甸,馬來西亞,巴基斯坦,泰國,越南,斯里蘭卡,菲律賓群島","Flake Ice Maker, Film Ice Maker, Falling Film Chiller, IQF, Contact Freezer, Air Blast
                              Freezer, Cold Room",高雄市大發工業區裕民街35號,"USD 10,000,001 -  50,000,000",1976,開拓,,,,83110,"出口商,進口商,製造商,原始設備制造商"," 新台幣 10,000,001 -  50,000,000",-7872798,-7872798
醫療及保健,台灣,,瑞寶基因股份有限公司,"台灣
																			,
																		越南
																			,
																		俄羅斯聯邦
																			,
																		菲律賓群島",PRRSFREETM PRRS SUBUNIT VACCINE,台北市大安區仁愛路四段25之1號3樓,"USD  1,000,001 -   5,000,000",2008,PRRSFREETM,,,,10685,"出口商
																			,
																		製造商
																			,
																		原始設備制造商
																			,
																		原始設計制造商",,+886-2-27313191 EXT 424,
醫療及保健,,台灣,榮曜國際有限公司,"南非,美國,澳大利亞,日本,北韓,馬來西亞,新加坡,阿拉伯聯合大公國,以色列,土耳其,比利時,德國,丹麥,西班牙,英國,希臘,加拿大,巴西,厄瓜多爾,菲律賓群島,沙烏地阿拉伯","Rehabiliation Exercisers, Fitness Bicycle, Treadmills, Fitness Goods, Healthcare,
                              Physiotherapy Equipments",,,1999,"SPIRT, CURAMOTION",,,臺中市北屯區崇武街78號,40673,"出口商,進口商,製造商,原始設備制造商,原始設計制造商",,-24211903,--
機械零件,,,全球傳動科技股份有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,南美洲,大洋洲,其他","Ball Screw , Linear Guied, Ball Spline",,"USD 500,001 -  1,000,000",1986,,,,新北市土城區中山路91號,26,"出口商,進口商,製造商",,+886-2-26892689 EXT 1803,--
家庭用品,,,富埜實業有限公司,"亞洲,歐洲,北美洲,大洋洲","Plastic household products, 
                              canvas bag, 
                              gift and Premiums",,,2014,,,,,,"出口商,製造商,原始設備制造商,原始設計制造商,批發商,貿易商",,-3155622,--
機械,,台灣,銓欣實業有限公司,,"Automobile and Motorcycle parts
                              Bicycle parts 
                              Motor parts
                              Heat sink
                              Monitor Housing
                              Metal accessories",,,2014,,,,桃園市中壢區民權路200號,320,"出口商,製造商,原始設備制造商,原始設計制造商,代理商,批發商,貿易商,服務公司,零售商",,-4667298,-55735681
服飾及配件,,台灣,馨洋行有限公司,"美國,中國大陸,香港,日本,南韓,西班牙,英國,希臘,葡萄牙,沙烏地阿拉伯,捷克","Sandwich Foam Cup, Breast Enhancer, Air Pad, Jel Pad, Bra Pads for Underwear or Brassieres,
                              Liquid Pad, Jelly Pad, Silicone Pad, Cream Pad, Perfume Pad,Accessory",,USD ,1982,"施媚香波, 馨洋行,波波小姐",, 51 -  100,台北市金華街26號5樓,10,"出口商,進口商,製造商,原始設備制造商,原始設計制造商"," 新台幣 1,000,001 -  5,000,000",-23936741,2-23937625
農產及食品,,,綠色冀泉股份有限公司,,牛樟葉茶、牛樟原木鉛筆、手工紙、牛樟景觀盆栽、植栽APP、牛樟葉燒 tea,新北市八里區中華路2段338號3樓,,2015,綠色冀泉,,,,249,"服務公司
																			,
																		其他",,-26194373,-26194373
