category,company,GUI,boss,shop_name,shop_admin,address,tel
流行女裝與女鞋,丞田國際服飾行,26804290,龔盈仲,eFashion,龔盈仲,500 Taiwan 彰化縣彰化市永芳路13號,04-7625897
流行女裝與女鞋,木易有限公司,28927332,楊雅雯,so that's me,Wen,242 Taiwan 新北市新莊區化成路211巷34號2樓,02-29908122
流行女裝與女鞋,意立達企業有限公司,29035942,黃志成,bonjour_puu_jour,林珊如,103 Taiwan 台北市大同區承德路三段8巷2號2樓,02-25954565
流行女裝與女鞋,連萬鞋業股份有限公司,55878067,曹錫安,Shoes Party,曹詩怡,510 Taiwan 彰化縣員林鎮員東路一段68巷135號,04-8362314
流行女裝與女鞋,連發商行,41080554,林雅敏,艾咪e舖,林雅敏,244 Taiwan 新北市林口區八德路78之1號5樓,02-26020738
流行女裝與女鞋,薇琪有限公司,28126281,曹慧玲,Pufii,許志廷,241 Taiwan 新北市三重區三和路四段103之1號9樓,02-82870101#55
流行女裝與女鞋,芳子時尚商行,25551732,楊雅雯,芳子時尚,芳子時尚,116 Taiwan 台北市文山區興隆路2段217巷3號1樓,02-86636133
流行女裝與女鞋,巨安網路行銷購物,37563945,李榮輝,美麗大街網路購物,李榮輝,700 Taiwan 台南市中西區臨安路一段53號,06-2809999
流行女裝與女鞋,糖衣子服飾店,40657039,莊寶俊,糖衣子,莊寶俊,407 Taiwan 台中市西屯區西屯路三段53巷2弄5號1樓,0918-299158
流行女裝與女鞋,眼圈熊企業有限公司,24525316,黃士桓,眼圈熊S-7L大小尺碼衣褲專賣,黃士桓,814 Taiwan 高雄市仁武區考潭里成功路49之2號,07-3728176
流行女裝與女鞋,永燁資訊股份有限公司,27865891,白鳳玉,IVY牛仔舖,黃家樑,103 Taiwan 台北市大同區昌吉街178號,02-25922022
流行女裝與女鞋,莫達國際有限公司,28448987,陳曉蔓,Miu's,MR YAHG,242 Taiwan 新北市新莊區五工五路9號3樓,02-22980680
流行女裝與女鞋,今典國際股份有限公司,24344770,蔡卓清,零國界,George,100 Taiwan 台北市中正區延平南路46號2樓,02-23315104
流行女裝與女鞋,鳴人服飾,25712879,潘威男,BOBI,潘威男,830 Taiwan 高雄市鳳山區鳳甲路537號,07-7925673
